song,duration_min
"""Slut!"" (Taylor's Version) (From The Vault)",3.01
(Don't Fear) The Reaper,5.14
(There's No Place Like) Home for the Holidays - 1959 Version,2.93
16 CARRIAGES,3.8299999999999996
2 hands,3.03
28,3.89
3001,2.63
360,2.23
3D (feat. Jack Harlow),3.36
500lbs,2.41
505,4.23
57,4.97
7 Minute Drill,3.54
7969 Santa,4.33
8am in Charlotte,4.45
A Bar Song (Tipsy),2.85
A Holly Jolly Christmas,2.26
A Night To Remember,3.89
ACHO PR,5.99
ADIVINO,4.64
ALL RED,2.47
ALLIIGATOR TEARS,2.99
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),4.35
AMERIICAN REQUIEM,5.419999999999999
AMG,2.92
ANTHEM PART 3,3.55
APT.,2.83
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN),2.68
Abracadabra (feat. Travis Scott),4.13
Agora Hills,4.42
Ain't No Love,3.05
Ain't No Love In Oklahoma (From Twisters: The Album),3.52
Ain't No Mountain High Enough,2.53
Ain't No Sunshine,2.08
All Alone,3.71
All I Want for Christmas Is You,4.02
All My Life (feat. J. Cole),3.73
All Summer Long,4.96
All The Parties (feat. Chief Keef),3.64
All The Stars (with SZA),3.87
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)",4.09
All You Had To Do Was Stay (Taylor's Version),3.22
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",4.27
Amen (feat. Teezo Touchdown),2.35
American Girl,3.58
American Kids,3.0499999999999994
American Nights,3.65
American Pie,8.61
Amped,2.88
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",3.86
Another Late Night (feat. Lil Yachty),2.84
Anti-Hero,3.3399999999999994
Antichrist,5.24
Apple,2.53
Aquí Te Espero,4.26
Are You Gone Already,4.51
Area Codes,2.32
As Good As I Once Was,3.8
As It Was,2.79
Attention,4.62
Austin,2.86
Austin (Boots Stop Workin'),2.86
Away From Home,4.31
Aye (feat. Travis Scott),3.4599999999999995
BABY NUEVA,4.01
BACK TO ME,4.92
BAND4BAND (feat. Lil Baby),2.35
BANDIT,2.46
BATICANO,4.27
BBL Love - Interlude,2.69
BEG FORGIVENESS,6.15
BELLAKEO,3.29
BEST INTEREST,2.13
BIRDS OF A FEATHER,3.51
BITTERSUITE,4.97
BLACKBIIRD,2.2
BLUE,5.72
BODYGUARD,4.0
BROTHER STONE (FEAT. KODAK BLACK),3.38
BURN,1.8599999999999999
BYE,3.55
Baby Please,2.97
"Baby, It's Cold Outside",2.4
Back To December (Taylor's Version),4.9
Bad Blood (Taylor's Version),3.52
Bad Blood (feat. Kendrick Lamar) (Taylor's Version),3.33
Bad Habit,3.8700000000000006
Bad One,4.5
Bahamas Promises,3.07
Balloon (feat. Doechii),2.57
Bandit,2.46
Barbie Dangerous,2.21
Barbie World (with Aqua) [From Barbie The Album],1.8299999999999998
Beautiful Things,3.01
Bed Chem,2.86
Beep Beep,1.59
Beer For My Horses,3.4
Belong Together,2.47
Better Days (feat. John Mayer),3.54
Better Than Revenge (Taylor's Version),3.6699999999999995
Big Dawgs,3.18
Big Difference,3.19
Big Foot,4.37
Blank Space,3.8600000000000003
Blank Space (Taylor's Version),3.86
Blinding Lights,3.33
Bloody Mary,4.08
Blue Christmas,2.15
Bongos (feat. Megan Thee Stallion),2.92
Boons,3.09
Born in the U.S.A.,4.64
Boy's a Liar Pt. 2,2.18
Boys Of Faith (feat. Bon Iver),2.85
Brand New Dance,3.44
Breaking News - skit,0.62
Breathe,2.85
Brown Eyed Girl,3.06
But Daddy I Love Him,5.67
Bye,3.5499999999999994
Bye Bye Bye - From Deadpool and Wolverine Soundtrack,3.34
CARNIVAL,4.41
CHIHIRO,5.06
CIRCUS MAXIMUS,4.31
CIRCUS MAXIMUS (feat. The Weeknd & Swae Lee),4.31
CS,3.53
CYBERTRUCK,3.2
California Sober (Feat. Chris Stapleton),3.41
Call Your Friends,2.55
Call Your Mom,4.64
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",3.66
Calling For You (feat. 21 Savage),4.76
Calm Down (with Selena Gomez),3.99
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,3.42
Cars Bring Me Out (feat. Future),3.38
Cassandra,4.0
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),5.1
Casual,3.8799999999999994
"Changes In Latitudes, Changes In Attitudes",3.29
Cheeseburger In Paradise,2.93
Chemical,3.07
Chicken Fried,3.97
Chill Bae,2.31
Chloe or Sam or Sophia or Marcus,3.55
Christmas (Baby Please Come Home),2.77
Christmas Time Is Here,2.72
Christmas Tree Farm,3.8
Cinderella,2.83
Clara Bow,3.61
Claustrophobic,3.7
Clean (Taylor's Version),4.52
Close To You,3.77
Clouded,1.8400000000000003
Cobra,2.82
Coincidence,2.74
Come Monday,3.2
Cool With You,2.46
Corazón de Piedra,3.23
"Courtesy Of The Red, White And Blue (The Angry American)",3.2600000000000002
Cowgirls (feat. ERNEST),3.03
Creepin' (with The Weeknd & 21 Savage),3.69
Crocodile Tearz,3.82
Cruel Summer,2.97
Cruel Summer - Live from TS | The Eras Tour,3.83
Crush Em,2.76
Cry,3.11
Cupid - Twin Ver.,2.9
DAUGHTER,3.4
DELRESTO (ECHOES),4.57
DELRESTO (ECHOES) (feat. Beyoncé),4.57
DESERT EAGLE,1.21
DEVIL IS A LIE,2.18
DJ Got Us Fallin' In Love (feat. Pitbull),3.68
DO IT,3.75
DOS DÍAS,2.57
Dance The Night (From Barbie The Album),2.94
Dance The Night - From Barbie The Album,2.94
Dancing In The Flames,3.6699999999999995
Danger (Spider) (Offset & JID),3.42
Dark Red,2.89
"Darling, I (feat. Teezo Touchdown)",4.23
Dawns (feat. Maggie Rogers),4.85
